Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,O Mistério De Henri Pick,12749.0,191584.0,Ficção
2019,O Mistério Do Gato Chinês,7613.0,138031.0,Ficção
2019,O Médico Indiano,12903.0,222364.0,Documentário
2019,O Nó Do Diabo,349.0,3042.0,Ficção
2019,O Olho E A Faca,1516.0,21078.0,Ficção
2019,O Ornitólogo,166.0,1545.0,Ficção
2019,O Paraíso Deve Ser Aqui,13030.0,249818.0,Ficção
2019,O Parque,9.0,70.0,Ficção
2019,O Parque Dos Sonhos,776716.0,11838012.0,Animação
2019,O Peso Do Passado,19621.0,352161.0,Ficção
2019,O Pintassilgo,6578.0,128834.0,Ficção
2019,O Primeiro Homem,277.0,2584.0,Ficção
2019,O Processo,219.0,1413.0,Documentário
2019,O Que Será De Nozes 2,40.0,472.0,Animação
2019,O Quebra-Cabeça,191.0,2979.0,Ficção
2019,O Quebra-Nozes E Os Quatro Reinos,419.0,3795.0,Ficção
2019,O Rei De Roma,9912.0,166030.0,Ficção
2019,O Rei do Show,51.0,2610.0,Ficção
2019,O Rei Leão,16242804.0,265786968.0,Ficção
2019,O Reino Gelado: A Terra Dos Espelhos,93991.0,1199028.0,Animação
2019,O Relatório,1885.0,40924.0,Ficção
2019,O Retorno De Ben,27322.0,510506.0,Ficção
2019,O Retorno De Mary Poppins,109308.0,1899333.0,Ficção
2019,O Sacrifício Do Cervo Sagrado,56.0,654.0,Ficção
2019,O Sal Da Terra,12.0,255.0,Documentário
2019,O Segredo De Davi,27.0,108.0,Ficção
2019,O Silêncio Dos Outros,5850.0,91631.0,Documentário
2019,O Sol Também É Uma Estrela,13790.0,248748.0,Ficção
